date	cases	recoveries	deaths
2020-10-11	86963	71454	1889
2020-10-12	88174	72540	1914
2020-10-13	89228	73640	1933
2020-10-14	90266	74831	1950
2020-10-15	91337	75881	1970
2020-10-16	91337	75881	1970
2020-10-17	93356	77969	2015
2020-10-18	94327	79043	2032
2020-10-19	95253	80167	2046
2020-10-20	96217	81013	2068
2020-10-21	97217	82085	2089
2020-10-22	98206	83244	2105
2020-10-23	99158	84337	2126
2020-10-24	100220	85492	2146
2020-10-25	100991	86721	2164
2020-10-26	101897	87883	2177
2020-10-27	102678	89017	2188
2020-10-28	103522	90064	2204
2020-10-29	104235	91142	2218
2020-10-30	104847	92219	2232
2020-10-31	105597	93251	2251
2020-11-01	106205	94726	2270
2020-11-02	107229	95783	2288
2020-11-03	107229	95783	2288
2020-11-04	107229	95783	2288
2020-11-05	107229	95783	2288
2020-11-06	107229	95783	2288
2020-11-07	107229	95783	2288
2020-11-08	107229	95783	2288
2020-11-10	112027	101707	2365
2020-11-10	112027	101707	2365
2020-11-11	114343	105046	2402
2020-11-12	114343	105046	2402
2020-11-13	115174	106100	2412
